,abbv,term
711,EMFF,European Maritime and Fisheries Fund
712,SSPE,securitisation special purpose entity
713,UN,UMI46YPGBLUE4VGNNT48 NEE
714,DA,de anilina
715,AAUs,assigned amount units hereinafter
716,BNWAS,Bridge Navigational Watch Alarm System
717,BKD,Bacterial kidney disease
718,GIC,General Industry criteria
719,PE,Period Evaluation
720,MRL,Maximum Residue Limit
721,SCP,Scientific Committee on Plants
722,MAP,Multi-annual Action Plan
723,HAC,Head acceptability criterion
724,KNMI,Koninklijk Nederlands Meteorologisch Instituut
725,CNTD,controlled nucleation thermal deposition
726,NLS,NOXIOUS LIQUID SUBSTANCES
727,BCD,Binary Code Decimal
728,GAP,good agricultural practice
729,SEED,system for exchange of excise data
730,PSF,polyester staple fibres
731,GPA,Government Procurement Agreement
732,TSE,transmissible spongiform encephalopathy
733,SIT,silicon intensifier target
734,DG,Deutsche Genossenschaftsbank
735,ECCS,electrically chromium coated steel
736,TP,Total Phosphorus
737,UTIs,Unique Transaction Identifiers
738,RMSEP,root mean squared error of prediction
739,SEPA,Single Euro Payments Area
740,SPo,safety precautions for operators
741,PNR,Passenger Name Record
742,IOSA,IATA Operational Safety Audit
743,GSN,GENERAL SOFTWARE NOTE
744,LED,light emitting diodes
745,CGT,Compensated gross tonnage
746,ARC,AIRWORTHINESS REVIEW CERTIFICATE
747,DPO,Defensie Pijpleiding Organisatie
748,ICNCP,International Code of Nomenclature for Cultivated Plants
749,HIAST,Higher Institute for Applied Sciences and Technology
750,SSR,security sector reform
751,SLRV,Strawberry latent ringspot virus
752,ADR,Alternative dispute resolution
753,GMP,Good Manufacturing Practice
754,IA,IIn Annex
755,HCS,Heading control system
756,CFP,common fisheries policy
757,BT,bringing together
758,CTV,Citrus tristeza virus
759,TTCAs,title transfer collateral arrangements
760,PNR,passenger name record
761,POPs,Persistent Organic Pollutants Stockholm
762,EFI,Exploding foil initiators
763,EUMM,European Union Monitoring Mission
764,MB,mass balance
765,ESA,European Space Agency
766,ACAs,accession compensatory amounts
767,COD,chemical oxygen demand
768,NSSS,North Sea Sandeels Survey
769,OPL,Operational passenger limitation
770,DOC,dissolved organic carbon
771,BEICF,business environment and internal control factors
772,ISO,International Standards Organisation
773,ML,maximum level
774,EFIM,e Finanziamento Industria Manufatturiera
775,UNSC,United Nations Security Council
776,CoC,Certificates of competency
777,NGE,net grant equivalent
778,GLP,good laboratory practice
779,SAE,Society of Automotive Engineers
780,LED,light emitting diode
781,URG,UNITED REPROCESSORS GMBH
782,VAS,vehicle alarm systems
783,EEIG,European Economic Interest Grouping
784,UTS,ultimate tensile strength
785,MSI,marine safety information
786,TAC,total allowable catches
787,ESA,European Stabilisation Agreement
788,MIGA,Multilateral Investment Guarantee Agency
789,IC,integrated circuit
790,SC,substitution between CMR and
791,JRC,Joint Research Centre
792,AMC,acceptable means of compliance
793,NATO,North Atlantic Treaty Organization
794,SANS,Second Academy of Natural Sciences
795,SGEI,Service of General Economic Interest
796,GMHPs,GENETICALLY MODIFIED HIGHER PLANTS
797,EQF,European Qualifications Framework
798,EBA,European Banking Authority
799,NYHA,New York Heart Association
800,DRL,day-time running lights
801,OO,O OO
802,NBBE,Nederlands Bureau Brandweer Examens
803,SAA,Security Accreditation Authority
804,SIP,Seat index point
805,ESCB,European System of Central Banks
806,APIs,application programming interfaces
807,EC,environmental category of
808,GLP,Good Laboratory Practice
809,PCR,Polymerase chain reaction
810,ATR,Answer To Reset
811,HC,HC Caramiñal
812,NA,Nutrient agar
813,PTT,particulate transfer tube
814,FF,FF000000 to FFFFFFFF
815,VDR,voyage Data Recorder
816,HVD,High voltage diodes
817,APF,abdominal peak force
818,KHV,Koi herpes virus
819,ISA,Infectious Salmon Anemia
820,CGRMV,Cherry green ring mottle virus
821,EDI,electronic data interchange
822,PEEI,Principal European Economic Indicators
823,IOPP,international oil pollution prevention
824,MPE,Multiple Point of Entry
825,AEA,Association of European Airlines
826,RDC,rib deflection criterion
827,AETL,Acute Exposure Threshold Levels
828,ESAs,European Supervisory Authorities
829,EC,expenses with consolidated
830,RVCV,Raspberry vein chlorosis virus
831,LBT,Listen Before Talk
832,ADD,automatic dropping device
833,FID,flame ionization detector
834,DF,deterioration factor
835,EUAA,European Union Aviation Allowances
836,SRP,seat reference point
837,MIS,Metal Insulator Semiconductors
838,PDP,positive displacement pump
839,ATFM,Air Traffic Flow Management
840,ATMs,automated teller machines
841,OTMs,On track machines
842,EE,Equity Estonia
843,EFSA,European Food Safety Authority the
844,PDP,Positive displacement pumpThe
845,SRM,SACMA recommended methods
846,EBU,European Broadcasting Union
847,OIC,Orkney Islands Council
848,CAME,Continuing airworthiness management exposition
849,EIOPA,European Insurance and Occupational Pensions Authority
850,GMT,Greenwich Mean Time
851,CAB,conformity assessment bodies
852,SVA,Statens Veterinärmedicinska Anstalt
853,CFV,critical flow venturi
854,RCDS,Raster chart display system
855,ECU,electronic control units
856,PCR,polymerase chain reaction
857,LDS,Licentiate in Dental Surgery
858,OCT,overseas country or territory
859,EC,evolution coefficient
860,NOAEL,No Observed Adverse Effect Level
861,SCHER,Scientific Committee for Health and Environmental Risks
862,GPS,Global Positioning System
863,VOC,Volatile organic compound
864,NML,Nippon Motorola Ltd
865,SIS,Schengen Information System
866,MDIs,metered dose inhalers
867,IP,investigation period
868,QC,Quality control
869,FSS,fixed satellite service
870,EAFRD,European Agricultural Fund for Rural Development
871,DSL,digital subscriber line
872,SI,spark ignition
873,HIAS,horizontal inclination adjustment system
874,NSFL,National Swine Fever Laboratories
875,ECB,European Central Bank
876,EDM,Electrical discharge machines
877,IBTS,International Bottom Trawl Survey
878,DTC,Diagnostic trouble code
879,UIFN,Universal International Freephone Numbers
880,MPCC,Military Planning and Conduct Capability
881,TFIs,Transitional Federal Institutions
882,MTR,minimum technical requirements the
883,LCG,lead crystal glass
884,CIU,Collective investments undertakings
885,SCOEL,Scientific Committee on Occupational Exposure Limits
886,COD,Chemical oxygen demand
887,AIS,automatic identification systems
888,ISV,intermediate statement of verification
889,ATC,air traffic control
890,CN,Communities NegativePositive
891,NCB,national central bank
892,NTE,neuropathy target esterase
893,CAS,Chemical Abstracts Service
894,BSC,British Steel Corporation
895,MWD,Molecular weight distribution
896,WCL,World Confederation of Labour
897,MTF,multilateral trading facility or
898,SFTP,SSH File Transfer Protocol
899,SML,specific migration limit
900,ATPL,airline transport pilot licence
901,AD,airworthiness directive
902,AMPS,Aircraft Missile Protection Systems
903,CCT,Common Customs Tariff
904,IBA,ICE Benchmark Administration
905,HPAI,highly pathogenic avian influenza
906,GRF,Global Relief Foundation
907,PRRS,porcine reproductive and respiratory syndrome
908,ABS,Asset Backed Securities
909,AR,absolute risk
910,LEI,Legal Entity ID
911,MMIC,Microwave monolithic integrated circuits
912,NEMO,Network of European Museums Organisations
913,GNSS,Global Navigation Satellite Systems
914,UPW,Ultra pure water
915,DE,D'AFFILIATION ET
916,MFN,Most Favoured Nation
917,ENI,Ente Nazionale Idrocarburi
918,WDM,wavelength division multiplexing
919,PPL,private pilot licence
920,FCA,Freunds Complete Adjuvant
921,ISPM,International Standard of Phytosanitary Measures
922,BOD,biological oxygen demand
923,GDP,Gross Domestic Product
924,DC,Direct Current
925,IC,IC on the card and its
926,WT,Weighted TeraFLOPS
927,IAB,industry Advisory Board or
928,PPV,pay per view
929,SCG,Security Classification Guide
930,LDC,Low Duty Cycle
931,SECAs,SOx Emission Control Areas
932,OO,O O
933,NGL,natural gas liquids
934,IIa,IN ICES ZONES
935,EU,European Union
936,FI,flight instruction for the
937,ACPM,advisory committees on programme management
938,EFC,electronic flow compensation
939,OTF,organised trading facility
940,MSU,master set up unit
941,DYFS,Demersal Young Fish Survey
942,RFLP,Restriction fragment length polymorphism
943,ESMA,European Security and Markets Authority
944,ΤΕΕ,Τεχνικό Επιμελητήριο Ελλάδας
945,NeTEx,Network and Timetable Exchange
946,SS,SE0003366871 SAS
947,MLSS,mixed liquor suspended solids
948,KNIC,Korea National Insurance Corporation
949,RID,Road Illumination Devices
950,OCTs,Overseas countries of territories
951,MS,Member State
952,CAME,continuing airworthiness management exposition
953,MBAS,methylene blue active substance
954,SAL,Security Aspects Letter
955,CNTD,Controlled nucleation thermal deposition
956,ECE,Economic Commission for Europe
957,LQ,limiting quality
958,SSV,SSV sub-sonic venturi
959,CDE,Centre for the Development of the Enterprise
960,UKAEA,United Kingdom Atomic Energy Authority
961,IARC,International Agency for Research on Cancer
962,PMF,plasma master file
963,RFBs,regional fisheries bodies
964,AIS,Automatic identification system
965,SIR,Società Italiana Resine
966,CN,Combined Nomenclature
967,VHF,Very High Frequency
968,MC,mass of the combination
969,ECSA,European Community Shipowners Association
970,EMCDB,Elastomer Modified Cast Double Base
971,TOC,TOTAL ORGANIC CARBON
972,DECT,digital European cordless telecommunication
973,JRC,Joint Research Council
974,GNI,gross national income
975,SAFE,System for Aircrew Fatigue Evaluation
976,RUF,revolving underwriting facility
977,NN,NE NG
978,PIC,Prior Informed Consent
979,EAA,economic accounts for agriculture
980,EEA,European Economic Area
981,DIRE,Direct investment in the reporting economy
982,MET,market economy treatment
983,OIC,Orkney Island Council
984,HFID,heated flame ionisation detector
985,IRBA,Internal Ratings Based Approach
986,IC,inorganic carbon
987,ACS,Australian Customs Service
988,HPC,head performance criterion
989,EPA,Environmental Protection Agency
990,TFEU,Treaty of on the Functioning of the European Union
991,ECM,entity in charge of maintenance
992,ILI,Infrastructure Leakage Index
993,ICRP,International Commission on Radiological Protection
994,SORs,smart order routers
995,ECAI,External Credit Assessment Institution
996,TFT,thin film transistor
997,SMEs,smaller and medium-sized enterprises
998,CPC,Certificate of Professional Competence
999,EIV,Estimated Index Value
1000,ČVUT,České vysoké učení technické
1001,WCT,WIPO Copyright Treaty
1002,ICH,International Conference on Harmonisation
1003,PRC,People s Republic of China
1004,NA,NL0000303709 AGN
1005,EEV,enhanced environment-friendly vehicle
1006,ASP,Amnesic Shellfish Poison
1007,NZ,New Zealand
1008,TMDI,theoretical maximum daily intake
1009,UDS,Unscheduled DNA synthesis
1010,IFRS,international financial reporting standards
1011,PAHs,polycyclic aromatic hydrocarbons 
1012,CEMT,Conference of the European ministers of transport
1013,UPW,ultra pure water
1014,OTFs,organised trading facilities
1015,IBSFC,International Baltic Sea Fisheries Commission
1016,VOC,volatile organic compound
1017,ITE,Importing Tissue Establishment
1018,DTA,deferred tax assets
1019,HDP,High Default Portfolios
1020,VIN,Vehicle identification number
1021,BTU,BRITISH THERMAL UNIT*1
1022,DRF,D Reduction Factor
1023,CBSA,Canada Border Services Agency
1024,GMHP,genetically modified higher plants
1025,IHAR,Instytut Hodowli i Aklimatyzacji Roślin
1026,ELFAA,European Low Fares Airline Association
1027,DF,deterioration factors
1028,IPU,Integrated Police Unit
1029,CSD,Central Securities Depository
1030,EEE,electrical and electronic equipment
1031,TOS,Total Organic Solids
1032,LE,L'INDUSTRIE ET
1033,HDIGF,Hellenic Deposit and Investment Guarantee Fund
1034,EDA,European Defence Agency
1035,HFID,Heated flame ionisation detector
1036,SML,Service Metadata Location
1037,BfR,Bundesinstitut für Risikobewertung
1038,MSRC,Medische Specialisten Registratie Commissie
1039,KKBC,Korea Kwangson Banking Corporation
1040,CPV,Common Procurement Vocabulary
1041,OCTs,Overseas Countries and Territories
1042,CMS,capital markets services
1043,LSC,liquid scintillation counting
1044,ICES,International Council for the Exploration of the Sea
1045,MCHC,mean corpuscular haemoglobin concentration
1046,EUTL,European Union Transaction Log or
1047,GTR,Global Technical Regulation
1048,CF,CORPORATE FINANCE
1049,IFLs,international facilities licences
1050,EBU,European Barge Union
1051,LDZs,local distribution zones 
1052,RFMOs,regional fisheries management organisations
1053,GMPs,general medical practitioners
1054,FADs,fish aggregating devices
1055,AWU,annual work units
1056,BPL,balloon pilot licence
1057,ITEF,International Toxic Equivalent Factors
1058,SDS,Safety Data Sheet
1059,PPEs,Platinized platinum electrodes
1060,ADFVd,Apple dimple fruit viroid
1061,NC,NC Còdice
1062,VAT,value added tax
1063,GLP,GOOD LABORATORY PRACTICE
1064,LCD,liquid crystal display
1065,ANAP,Associazione Nazionale Addestramento Professionale
1066,HLSG,High Level Steering Group
1067,CISE,Common Information and Sharing Environment
1068,MEAs,multilateral environmental agreements
1069,CAR,Central African Republic
1070,CDA,Central Depositary Agency
1071,EMEP,European Monitoring and Evaluation Programme
1072,EMSA,European Maritime Safety Agency
1073,CDV,critical dilution volume
1074,AEC,Annual energy consumption
1075,FSPM,fire spreading prevention measures
1076,ATP,Automatic Train Protection
1077,GLP,Good laboratory practice
1078,MIC,minimum inhibition concentration
1079,ICT,information and communication technologies
1080,SDGs,Sustainable Development Goals
1081,FEI,Fédération Equestre Internationale
1082,MS,methane sulphonate
1083,ESS,Emergency Stop Signal
1084,CSM,common safety methods
1085,LSD,lumpy skin disease
1086,DTL,Deferred Tax Liabilities
1087,PPE,personal protective equipment
1088,SSB,spawning stock biomass
1089,CSDP,common security and defence policy
1090,ETNs,exchange traded notes
1091,FISIM,financial intermediation services indirectly measured
1092,ULV,ultra low volume
1093,DTCs,Diagnostic Trouble Codes
1094,MAS,Monetary Authority of Singapore
1095,AIS,automatic identification system
1096,PECA,Predicted environmental concentration in air
1097,RF,response factors
1098,RR,relative risk
1099,SC,surcharge cost
1100,IEC,International Electronics Commission
1101,FTE,full time equivalent
1102,CAD,Colour Assessment and Diagnosis
1103,MAQ,Minimum acceptable quantity
1104,RTP,reduced test package
1105,LRIT,long range identification and tracking
1106,FIFG,financial instrument for fisheries guidance
1107,CEF,Connecting Europe Facility
1108,UDS,unscheduled DNA synthesis
1109,NSAs,national security authorities
1110,NNG,Net nuclear grain
1111,PPR,protection products and their Residues
1112,NPU,net protein utilization
1113,WF,weighting factors
1114,CMS,Cytoplasmic male sterility
1115,TCB,Tanchon Commercial Bank
1116,SFA,Securities and Futures Act
1117,CPSS,Committee on Payments and Settlement Systems
1118,SCA,Surveillance and Court Agreement
1119,ESPO,European Sea Ports Organisation
1120,PER,protein efficiency ratio
1121,FPI,Foreign Policy Instruments
1122,EIFI,European Industrial Fasteners Institute
1123,RHLS,Rügen Herring Larvae Survey
1124,NRAs,national regulatory authorities
1125,NIST,National Institute of Standards and Technology
1126,PECsw,predicted environmental concentration in surface water
1127,CCS,China Classification Society
1128,MLS,microwave landing systems
1129,ESA,European System of Accounts
1130,IPPC,International Plant Protection Convention
1131,GGBs,Greek government bonds 
1132,GC,Gas Chromatograph
1133,DD,Degree in Dentistry
1134,VLA,Veterinary Laboratories Agency
1135,NOx,nitrogen oxides or 
1136,UAVs,Unmanned Aerial Vehicles “
1137,wFP,World Food Programme
1138,EC,European Community
1139,SA,STOLBERG AND
1140,EPAs,Economic Partnership Agreements
1141,CCFLs,cold cathode fluorescent lamps
1142,AMP,Accepted market practice
1143,EMS,energy measuring system
1144,HPLC,high performance liquid chromatography
1145,GNP,Gross National Product
1146,LoW,list of waste
1147,CEAOB,Committee of European Auditing Oversight Bodies
1148,HDDR,high density digital recording
1149,PCBs,Printed circuit boards
1150,STIDC,Scientific and Technical Information and Documentation Committee
1151,TAE,Tris Acetate EDTA
1152,PER,Packed Encoding Rules
1153,ECS,emission control strategy
1154,ESC,European Securities Committee
1155,PIN,personal identification number
1156,IRS,International Referral System
1157,SE,SWEDAVIA EKONOMI
1158,FDI,foreign direct investment
1159,ABS,Anti-Lock Braking System
1160,SRLD,Search and rescue locating devices
1161,CBD,Convention on Biological Diversity
1162,EITI,Extractive Industries Transparency Initiative
1163,MAQ,Minimum Acceptable Quantity
1164,VMS,vessel monitoring systems
1165,CS,cyclone separator
1166,RTS,Registratiecommissie Tandheelkundige Specialismen
1167,ND,national design
1168,SME,Small and Medium-sized Enterprises
1169,PIN,personal identification numbers
1170,CM,Common Manual
1171,CAO,Combined airworthiness organisation
1172,ESAs,European supervisory authorities the 
1173,EIB,European Investment Bank
1174,EEAS,European External Action Service
1175,PCI,percutaneous coronary intervention
1176,GTRs,Global Technical Regulations 
1177,ISV,intermediate statement verification
1178,NCE,new chemical entities
1179,IFRIC,International Financial Reporting Interpretations Committee s
1180,TIC,Theoretical inorganic carbon
1181,UK,United Kingdom
1182,SRF,solids removable by filtration
1183,EDF,European Development Fund
1184,GMPs,General medical practitioners
1185,GCG,Gas Coordination Group
1186,TLS,transmission line system
1187,CTU,Community tuberculin units
1188,TVO,Teollisuuden Voima Oyj
1189,ECUs,electronic control units
1190,GVM,gross vehicle mass
1191,CSIs,Common Safety Indicators
1192,NEDC,New European Driving Cycle
1193,CMF,Combined Maritime Forces
1194,DSB,Dispute Settlement Body
1195,UARL,unavoidable annual real losses
1196,EF,Event or fault
1197,EDP,emission durability period
1198,SME,small and medium enterprises
1199,INC,Inspectoratul Navigaţiei Civile
1200,PGI,protected geographical indication
1201,NAT,Nucleic Acid Test
1202,CV,coefficient of variation
1203,IMEI,International Mobile Equipment Identity
1204,SpA,subsidiary of Fiat Auto
1205,IHN,Infectious haematopoietic necrosis
1206,HI,Haemagglutination inhibition
1207,SA,Swift Armour
1208,IRU,Indefeasible Rights of Use
1209,ABS,American Bureau of Shipping
1210,ACPI,Advanced Configuration and Power Interface
1211,ESIS,European Standardised Information Sheet
1212,SMEs,small and medium-size enterprises
1213,VDK,Verkaufsgemeinschaft Deutscher Kaliwerke
1214,PLMVd,Peach latent mosaic viroid
1215,HS,Harmonized System
1216,PT,Produkt toksyczny
1217,IIW,International Institute of Welding
1218,SRM,Single Resolution Mechanism
1219,NMR,nuclear magnetic resonance
1220,ISA,infectious salmon anaemia
1221,TACs,Total Allowable Catches
1222,VIES,VAT Information Exchange System
1223,CRM,credit risk mitigation
1224,SOIF,strategy orders with implied functionality
1225,LPG,Liquefied Petroleum Gas
1226,JECFA,Joint Expert Committee on Food Additives
1227,OTF,Organised Trading Facility
1228,TDMs,triazole derivative metabolites
1229,IAP,Investment Attraction Programme
1230,TPSs,Train Protection Systems
1231,MANs,Metropolitan Area Networks 
1232,DTT,Digital Terrestrial Television
1233,VRD,Vehicle Registration Data
1234,ETC,European Transient Cycle
1235,NG,NATURAL GAS
1236,VIN,Vehicle Identification Number
1237,EF,ejection fraction
1238,CAPs,Corrective Action Plans 
1239,IMP,integrated Mediterranean programme
1240,EPA,Electronic plotting aid
1241,DM,D Millionen
1242,SSM,Single Supervisory Mechanism
1243,NC,NC Código
1244,PAM,Programma alimentare mondiale
1245,NCA,national competent authority
1246,TD,texture depth
1247,RFIDs,Radio Frequency Identification Devices
1248,HKG,Hochtemperatur- Kernkraftwerk GmbH
1249,MS,MS of submission is the
1250,EDTA,ethylene diamine tetraacetic acid
1251,PPS,protocol parameter selection
1252,CSTs,Common safety targets 
1253,DMUs,diesel motored units
1254,ALU,arithmetic logic unit
1255,WCO,Word Customs Organization
1256,SCF,Scientific Committee for Food
1257,TSIs,technical specifications for interoperability
1258,PSD,power spectral density
1259,TIN,Tax Identification Number
1260,SRT,sludge retention time
1261,DRC,Democratic Republic of the Congo
1262,HEV,Hybrid electric vehicle
1263,FOD,French overseas departments
1264,PIC,prior informed consent
1265,ESO,European Standards Organisation
1266,ISSB,Information Security Steering Board
1267,EPEC,Eco programme energy consumption
1268,BVMS,Bachelor of Veterinary Medicine and Surgery
1269,BPE,Barakat Post Express
1270,DTA,Deferred Tax Assets
1271,ENISA,European Network and Information Security Agency
1272,TG,Test Guideline
1273,PPA,polymerisation production aids
1274,PINs,Personal Identification Numbers
1275,ILO,International Labour Organization
1276,PDO,protected designations of origin
1277,SICCT,Shetland Islands Council Charitable Trust
1278,TEFs,Toxic Equivalency Factors
1279,MET,Market economy treatment
1280,ADNA,average daily notional amount
1281,MTD,Maximum Tolerated Dose
1282,AECS,auxiliary emission control strategies
1283,OCR,Overall Capital Requirement
1284,TFEU,Treaty on the Functioning of the European Union
1285,UK,UNITED KINGDOM
1286,SRMs,specified risk materials
1287,CAB,cellulose acetate butyrate
1288,FI,flight instructor
1289,TEU,Treaty on European Union
1290,ERCC,Emergency Response Coordination Centre
1291,NA,NL0010672325 AH
1292,HPC,HEAD PERFORMANCE CRITERION
1293,TT,transverse tilt
1294,ES,ENDESA SA
1295,CRS,certificate of release to service
1296,FSM,Fondation Secours Mondial
1297,AGT,average generation time
1298,IAA,INTERNAL ASSESSMENT APPROACH
1299,LNG,Liquefied Natural Gas
1300,CFC,channels of frequency class
1301,NCBs,national central banks
1302,LRCS,League of Red Cross Societies
1303,SVC,saturated vapour concentration
1304,SEMBs,stock exchange money brokers
1305,FID,Flame ionisation detector
1306,SS,SE0000171100 SSABA
1307,ECHR,European Court of Human Rights
1308,EDFs,European Development Funds
1309,CAPM,Capital Asset Pricing Model
1310,SP,sampling probe
1311,NNG,Net nuclear grains
1312,NCD,NOx Control Diagnostic
1313,ATA,Automatic tracking aid
1314,ENI,Ente Nationale Idrocarburi
1315,BOD,biochemical oxygen demand
1316,EUSR,European Union Special Representative
1317,ICE,IL COMMERCIO ESTERO
1318,SVI,sludge volume index
1319,RGN,Registered General Nurse
1320,BIA,Bakhtar Information Agency
1321,EFSI,European Fund for Strategic Investments
1322,WHC,water holding capacity
1323,TACs,total allowable catches
1324,NVQs,National Vocational Qualifications
1325,CSTs,common safety targets 
1326,БСВ,Благородно сладко вино
1327,GMOs,genetically modified organisms
1328,HS,Harmonised System
1329,NCM,NOx Control Malfunction
1330,BSE,bovine spongiform encephalopathy
1331,LDCs,least developed countries
1332,CEBS,Committee of European Banking Supervisors
1333,EP,exhaust pipe to
1334,GGS,Greenland Groundfish survey
1335,SHN,Stichting Halt Nederland
1336,ONP,open network provision
1337,PECSW,Predicted environmental concentration in surface water
1338,NTP,network termination point
1339,AC,Access Conditions
1340,EBW,Exploding bridge wire
1341,BPC,Biocidal Products Committee
1342,SMS,safety management system
1343,DF,Deuterium Fluoride
1344,RCDS,Raster Chart Display System
1345,IP,Internet Protocol
1346,SRN,Stichting Reclassering Nederland
1347,AFLP,Amplified fragment length polymorphism
1348,GAB,General Arrangements to Borrow
1349,CPC,Central Product Classification
1350,IRFNA,Inhibited Red Fuming Nitric Acid
1351,ATC,Acute Toxic Class
1352,OO,OO o o OO
1353,ISDN,Integrated Services Digital Network
1354,CRM,crew resource management
1355,CCT,COMMON CUSTOMS TARIFF
1356,SCEs,sister chromatid exchanges
1357,CT,computed tomography
1358,CWD,Cold Water Dispersion
1359,RNCB,Russian National Commercial Bank
1360,STU,separate technical unit
1361,REMA,Rotating Electrical Machines Association
1362,TWI,tolerable weekly intake
1363,GDMS,Glow discharge mass spectrometers
1364,HFID,Heated flame ionization detector
1365,ETC,EUROPEAN TRANSPORT COMMITTEE
1366,HSEN,Harmonised System Explanatory Notes
1367,DF,Deliverable forward
1368,HFO,Heavy Fuel Oil
1369,IP,Investigation period
1370,MFF,Multiannual Financial Framework
1371,NRU,neutral red uptake
1372,UNCCD,United Nations Convention to Combat Desertification
1373,SS,SE0000148884 SEBA
1374,GPC,gel permeation chromatography
1375,CPMP,Committee for Proprietary Medicinal Products
1376,APP,asset purchase programme
1377,FTEs,Full Time Equivalents the 
1378,EASA,European Aviation Safety Agency
1379,NBS,National Broadband Scheme
1380,HF,High Frequency
1381,ACLSV,Apple chlorotic leaf spot virus
1382,PDI,permissible daily intake
1383,ΕΑΑ,Εθνική Αρχή Ασφάλειας
1384,GC,Gas Chromatographic
1385,PFGE,Pulsed Field Gel Electrophoresis
1386,CoP,certificates of proficiency
1387,RSD,relative standard deviations
1388,IRIB,Islamic Republic of Iran Broadcasting
1389,RYNV,Rubus yellow net virus
1390,LNG,liquefied natural gas
1391,CEECs,central and eastern Europe countries
1392,FAO,Food and Agriculture Organization
1393,NSG,Nuclear Suppliers Group
1394,EF,elementary files
1395,LBIO,Landelijk Bureau Inning Onderhoudsbijdragen
1396,AAS,Atomic Absorption Spectrometry
1397,HGP,Hennessy Grading Probe
1398,RGE,Red Global Española
1399,LED,Light Emitting Diode
1400,MES,Marine Evacuation System
1401,FWHI,Full Width Half Intensity
1402,SOAP,Simple Object Access Protocol
1403,KP,KP Party
1404,TLAS,Timber Legality Assurance System
1405,WEEE,waste electrical and electronic equipment
1406,SAG,Servicio Agrícola y Ganadero
1407,CPEs,Customer premise equipment
1408,GMOs,genetically modified organisms 
1409,ADF,Automatic Direction Finding
1410,ETA,Estimated time of arrival
1411,NPD,Noise Power Distance
1412,ECCS,electrolytically chromium coated steel
1413,CPA,classification of products by activity
1414,CPC,Common Product Classification
1415,POPs,Persistent Organic Pollutants 
1416,EAR,Eléments agricoles réduits
1417,PRM,people with reduced mobility
1418,NG,nuclear grains
